id;street_address;city;house;flat
1;mobile Fish;Metzstad;Dam;Practical Fresh Pants
2;Metal deposit;Port Mireyafort;red Chips Soap;Home Loan Account
3;web-readiness;South Leopold;Steel zero administration;Multi-channelled Licensed
4;grey Cambridgeshire;Jamiltown;Credit Card Account Table Small Frozen Sausages;South Dakota envisioneer Music
5;Nakfa;New Bonita;Buckinghamshire Games;incentivize Tuna copy
6;Costa Rica Mayotte;North Wadehaven;Views e-enable Communications;National Awesome sky blue
7;Tactics;Howellmouth;South Georgia and the South Sandwich Islands;compelling mission-critical
8;bifurcated scalable;North Aftonshire;index orange;Jewelery
9;monitor;Patsymouth;Unbranded Plastic Tuna Frozen;generating Highway Ergonomic
10;moratorium moratorium;Lanefurt;COM;embrace Developer
